,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
147,43,13.04,40.763237,-73.82080078,1,40.75653076,-73.98771667,0,2,2,1,20,22,3,2,2,1,20,22,42,58
148,21,3.4,40.7994194,-73.97022247,1,40.76013947,-73.97601318,0,2,4,1,22,11,22,1,4,1,22,11,54,36
149,23.5,6,40.70748138,-74.00840759,1,40.76408768,-73.96242523,0,1,2,1,27,9,2,21,2,1,27,9,25,37
150,2.5,0.05,40.75683975,-73.98272705,1,40.75397873,-73.98473358,0,2,5,1,2,10,57,10,5,1,2,10,57,57
151,13,3.62,40.75969696,-73.98529816,1,40.71407318,-74.00873566,0,2,0,1,4,7,23,24,0,1,4,7,36,55
152,19.5,4.55,40.76831818,-73.95732117,1,40.73073196,-74.00276184,0,2,3,1,14,19,52,37,3,1,14,20,17,30
153,6.5,1.09,40.72592163,-74.00991821,2,40.73965073,-74.00531006,0,2,4,1,29,17,48,1,4,1,29,17,55,33
154,9.5,2.47,40.74494171,-73.98616791,1,40.77093887,-73.96190643,0,2,4,1,1,22,22,48,4,1,1,22,32,4
155,4.5,0.65,40.75421143,-73.9666748,1,40.75965118,-73.97471619,0,2,6,1,17,19,26,21,6,1,17,19,30,0
156,8,1.8,40.71549988,-74.00938416,2,40.73883057,-74.00809479,0,2,5,1,16,19,46,37,5,1,16,19,54,11
157,10,2.3,40.76570511,-73.98365784,1,40.74564743,-74.00665283,0,1,3,1,7,17,26,25,3,1,7,17,36,36
158,6,0.99,40.79386139,-73.97250366,1,40.80631638,-73.96525574,0,2,6,1,3,16,37,59,6,1,3,16,42,46
159,52,17.8,40.74608231,-73.98498535,1,40.64481354,-73.78187561,0,1,1,1,12,18,6,14,1,1,12,18,57,59
160,11,1.8,40.75473785,-73.99180603,1,40.76134872,-73.96884155,0,1,4,1,1,1,25,48,4,1,1,1,40,17
161,7,1,40.74982071,-73.98616028,1,40.73872375,-73.98300934,0,1,2,1,27,22,39,19,2,1,27,22,46,36
162,8,1.35,40.71356583,-73.99771118,1,40.72624207,-73.9833374,0,2,4,1,22,7,45,48,4,1,22,7,54,22
163,8,1.51,40.7371254,-74.00524139,1,40.72497177,-73.9948349,0,2,2,1,20,22,48,46,2,1,20,22,57,21
164,16.5,3.96,40.71501541,-73.99889374,1,40.76103973,-73.98667908,0,2,4,1,8,23,5,56,4,1,8,23,26,5
165,6,0.5,40.74600601,-73.98834991,1,40.74003983,-73.98654938,0,1,1,1,19,14,26,31,1,1,19,14,33,24
166,10,2.2,40.73919296,-73.98280334,6,40.72332001,-74.00480652,0,2,0,1,11,15,35,4,0,1,11,15,45,31
167,8,1.7,40.72616577,-73.94950867,1,40.71359253,-73.96549988,0,2,1,1,5,22,33,20,1,1,5,22,42,5
168,12.5,2.61,40.75775909,-73.98578644,2,40.77408981,-73.95442963,0,2,2,1,13,19,4,29,2,1,13,19,21,4
169,11,1.9,40.72566986,-73.99626923,1,40.74933243,-73.98386383,0,1,1,1,19,9,44,2,1,1,19,9,57,45
170,52,21.04,40.77268982,-73.97866058,1,40.64691162,-73.7904129,0,2,1,1,19,19,20,33,1,1,19,20,8,39
171,16.5,3.2,40.76271057,-73.97016907,1,40.7222023,-73.99713135,0,1,4,1,15,9,39,12,4,1,15,10,3,10
172,8.5,1.77,40.78408813,-73.98155975,1,40.77409363,-73.95664215,0,2,5,1,2,8,20,24,5,1,2,8,29,4
173,5,0.95,40.72911835,-73.99918365,2,40.73446655,-73.99380493,0,2,0,1,4,17,0,3,0,1,4,17,4,43
174,5.5,0.54,40.76163864,-73.97917175,1,40.7566185,-73.97427368,0,2,4,1,29,8,16,0,4,1,29,8,21,47
175,15.5,2.93,40.71944809,-73.98762512,4,40.75104523,-73.99036407,0,2,5,1,2,18,53,21,5,1,2,19,15,54
176,33.5,10,40.72334671,-73.97895813,2,40.77393723,-73.87303925,0,1,3,1,21,15,33,38,3,1,21,16,9,41
177,9,2.02,40.75257874,-73.9788208,6,40.76089096,-73.96098328,0,2,2,1,6,18,10,1,2,1,6,18,19,41
178,8.5,1.74,40.74710083,-73.97763824,1,40.76073074,-73.99852753,0,2,6,1,10,3,1,56,6,1,10,3,11,7
179,5.5,0.82,40.7452507,-73.98882294,1,40.73723602,-73.99698639,0,2,2,1,13,20,26,26,2,1,13,20,31,53
180,30,9.5,40.7641449,-73.97695923,1,40.76965332,-73.8637085,0,1,3,1,14,22,34,48,3,1,14,23,0,34
181,6,0.8,40.75930786,-73.99531555,1,40.74996948,-73.9950943,0,1,4,1,1,6,31,59,4,1,1,6,38,12
182,8.5,1.4,40.76122665,-73.99884796,1,40.75390625,-73.97608948,0,1,3,1,14,3,24,32,3,1,14,3,34,12
