,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
28,52,15.7,40.7653656,-73.97524261,2,40.67363358,-73.80134583,1,1,2,1,6,15,24,9,2,1,6,16,12,28
29,15.5,3.73,40.80112839,-73.96778107,1,40.76296997,-73.97384644,0,2,2,1,6,11,51,5,2,1,6,12,11,44
30,7,1.36,40.72925949,-73.97814178,2,40.73347855,-73.99919128,0,2,0,1,18,20,7,18,0,1,18,20,14,47
31,4.5,0.6,40.74569321,-73.97806549,1,40.74974442,-73.98763275,0,1,2,1,13,18,59,6,2,1,13,19,2,40
32,4.5,0.69,40.71260834,-74.00958252,1,40.70568848,-74.00983429,0,2,6,1,10,16,44,55,6,1,10,16,48,55
33,8,1.47,40.76240158,-73.98973846,2,40.78158951,-73.98082733,0,2,6,1,3,13,46,39,6,1,3,13,54,36
34,9,1.8,40.7501297,-73.99461365,1,40.75751114,-73.97203827,0,1,4,1,8,20,19,29,4,1,8,20,30,6
35,5.5,0.69,40.75865936,-74.00348663,4,40.75222778,-74.00455475,0,2,0,1,11,10,54,56,0,1,11,11,0,3
36,5,0.68,40.69238663,-73.98717499,1,40.69697952,-73.98486328,0,2,2,1,13,23,0,33,2,1,13,23,4,56
37,15.5,3.9,40.70956421,-74.00804901,1,40.76060486,-74.00276184,0,1,0,1,11,16,13,21,0,1,11,16,29,19
38,5.5,0.94,40.7573967,-73.99000549,1,40.76483917,-73.98417664,0,2,3,1,21,23,32,45,3,1,21,23,37,22
39,5,0.8,40.78790665,-73.9559021,1,40.79333115,-73.9673996,0,1,4,1,22,9,26,7,4,1,22,9,30,14
40,16,2.86,40.79390335,-73.96778107,1,40.76308441,-73.96902466,0,2,1,1,12,14,37,56,1,1,12,15,0,49
41,52,19.3,40.75891495,-73.98847961,2,40.64522552,-73.7767334,0,1,1,1,19,15,1,17,1,1,19,15,59,32
42,16,4.2,40.78815842,-73.95623779,1,40.76077652,-74.00289154,0,1,4,1,8,7,11,15,4,1,8,7,25,58
43,11.5,2.94,40.75659943,-73.99391174,1,40.76420975,-73.95575714,0,2,4,1,1,12,0,44,4,1,1,12,11,46
44,8.5,1.26,40.77294159,-73.98571777,1,40.75733566,-73.99699402,0,2,5,1,30,13,41,19,5,1,30,13,52,16
45,8,1.65,40.7740593,-73.94844055,5,40.76514053,-73.96607208,0,2,5,1,30,9,42,19,5,1,30,9,50,35
46,29.5,9.63,40.69418335,-73.90586853,1,40.74834824,-73.98455048,0,2,3,1,14,2,2,35,3,1,14,2,29,38
47,4.5,0.5,40.72686768,-73.99150848,1,40.72073746,-73.99531555,0,1,4,1,22,23,8,12,4,1,22,23,12,29
48,6,1.15,40.76136017,-73.96716309,1,40.75102997,-73.97879028,0,2,0,1,11,19,51,5,0,1,11,19,57,6
49,29,9.3,40.77416992,-73.87136841,1,40.7509613,-73.99415588,1,1,2,1,20,19,17,32,2,1,20,19,41,12
50,11,2.32,40.75466537,-73.99530029,1,40.78471375,-73.97950745,0,2,4,1,22,23,16,6,4,1,22,23,30,7
51,35,9.06,40.75886917,-73.98764038,6,40.77360153,-73.87069702,0,2,2,1,20,11,0,21,2,1,20,11,40,3
52,9.5,2.6,40.73251343,-73.98946381,2,40.76284409,-73.98389435,0,1,6,1,3,10,54,16,6,1,3,11,3,14
53,7.5,1.7,40.77773285,-73.94863129,1,40.7591362,-73.96526337,0,1,5,1,9,21,52,23,5,1,9,21,58,1
54,10.5,1.7,40.76881409,-73.96565247,1,40.77878571,-73.94789124,0,1,3,1,7,7,58,14,3,1,7,8,11,44
55,5.5,0.77,40.76963043,-73.98439026,2,40.77679062,-73.97725677,0,2,5,1,9,19,31,7,5,1,9,19,36,11
56,4.5,0.6,40.72702789,-74.0030365,1,40.72384262,-73.99640656,0,1,2,1,6,20,48,58,2,1,6,20,52,49
57,4.5,0.89,40.75658035,-73.96944427,1,40.74627686,-73.9776001,0,2,6,1,3,20,45,58,6,1,3,20,48,29
58,6,0.86,40.78940582,-73.95258331,6,40.79117584,-73.942276,0,2,0,1,25,6,28,46,0,1,25,6,35,33
59,6,0.98,40.76055145,-73.95828247,1,40.77164459,-73.95623016,0,2,5,1,9,0,19,10,5,1,9,0,24,27
60,9,1.23,40.77508163,-73.95899963,1,40.78720093,-73.95419312,0,2,1,1,26,11,26,59,1,1,26,11,38,55
61,73,19.5,40.69014359,-74.17783356,1,40.76928711,-73.95942688,0,1,0,1,4,9,23,41,0,1,4,10,12,40
62,13.5,3.65,40.73023605,-73.9040451,1,40.71334839,-73.95832062,0,2,4,1,1,5,13,43,4,1,1,5,26,56
63,14,3.8,40.75535965,-73.98421478,1,40.70750809,-74.00806427,0,1,2,1,13,6,54,41,2,1,13,7,9,32
64,31.5,9.89,40.77452087,-73.87200165,1,40.76050186,-73.97900391,0,2,6,1,10,11,41,58,6,1,10,12,9,35
65,5.5,0.8,40.75125504,-73.97449493,1,40.74288177,-73.9741745,0,1,3,1,7,20,2,31,3,1,7,20,7,12
66,8,1.4,40.75682831,-73.97459412,1,40.76401901,-73.95882416,0,1,0,1,25,7,21,13,0,1,25,7,30,25
67,11.5,3.02,40.74884415,-73.98775482,1,40.77094269,-73.95363617,0,2,4,1,1,3,0,43,4,1,1,3,13,8
68,4.5,0.7,40.74328995,-73.97687531,1,40.75022125,-73.97693634,0,1,3,1,21,17,32,21,3,1,21,17,35,46
69,15,2.65,40.76112747,-73.98703003,1,40.73052216,-74.00255585,0,2,1,1,12,14,22,41,1,1,12,14,45,10
70,22,5.55,40.7648468,-73.91705322,1,40.76263428,-73.97180176,0,2,4,1,8,3,52,24,4,1,8,4,17,5
71,17,4.42,40.68775177,-73.97077942,5,40.73659897,-73.98898315,0,2,1,1,26,7,0,25,1,1,26,7,20,56
72,57,20.9,40.68696213,-73.9990387,2,40.64531326,-73.77687836,0,1,6,1,17,19,56,31,6,1,17,20,38,53
73,10,1.7,40.81593323,-73.95720673,2,40.79867172,-73.94145203,1,1,4,1,15,6,58,3,4,1,15,7,10,3
74,9,1.79,40.75909042,-73.98835754,2,40.76937866,-73.96923828,0,2,0,1,11,19,3,44,0,1,11,19,13,45
75,12,2.6,40.7520752,-74.00495911,1,40.72546387,-73.99655914,0,1,5,1,2,14,5,29,5,1,2,14,17,5
76,7,1.01,40.74221802,-73.97743988,5,40.74980927,-73.99123383,0,2,5,1,9,17,46,56,5,1,9,17,55,41
77,7,0.72,40.76490784,-73.96495056,1,40.76513672,-73.97505188,0,2,4,1,22,12,33,10,4,1,22,12,41,47
78,8.5,1.6,40.72323227,-73.99547577,1,40.73953247,-73.97963715,0,1,4,1,8,9,10,13,4,1,8,9,20,21
79,6.5,1.03,40.75154114,-73.97434235,3,40.75054169,-73.98719025,0,2,1,1,19,17,53,16,1,1,19,18,0,28
80,13.5,3.4,40.77312851,-73.95896149,2,40.76238632,-73.92961884,0,1,0,1,18,8,11,8,0,1,18,8,25,35
81,65.5,17.87,40.68773651,-74.1817627,1,40.75886536,-73.99902344,0,2,3,1,7,11,25,50,3,1,7,11,52,38
82,9,1,40.74082184,-73.9788208,1,40.75036621,-73.99123383,0,1,3,1,28,19,28,1,3,1,28,19,40,45
83,10,2.1,40.7202034,-74.00019073,1,40.73951721,-73.97940826,0,1,6,1,17,9,55,11,6,1,17,10,6,32
84,5.5,1.07,40.75382996,-73.9696579,2,40.75440979,-73.98381805,0,2,5,1,30,20,59,54,5,1,30,21,4,17
85,18,5.6,40.8276825,-73.93956757,2,40.76439285,-73.98701477,0,1,0,1,18,3,58,3,0,1,18,4,15,44
86,13.5,2.7,40.78118515,-73.97971344,1,40.77586365,-73.94407654,0,2,2,1,13,22,37,39,2,1,13,22,55,31
87,7,1.3,40.75190353,-73.97686005,1,40.73666763,-73.97816467,0,1,4,1,15,7,40,7,4,1,15,7,46,24
88,13.5,2.6,40.80638885,-73.96492767,2,40.77569962,-73.97633362,0,1,4,1,22,11,29,39,4,1,22,11,45,49
89,14,3,40.74918747,-73.99201202,1,40.70983124,-74.01144409,0,1,4,1,15,12,53,4,4,1,15,13,11,19
90,25,3.8,40.73656464,-73.97354889,1,40.76977158,-73.95469666,0,1,3,1,21,22,26,11,3,1,21,23,7,27
91,15,2.39,40.7567482,-73.98610687,2,40.78039169,-73.95957184,0,2,3,1,7,17,58,56,3,1,7,18,21,28
92,7,0.87,40.77582932,-73.95294189,2,40.76694107,-73.95427704,0,2,3,1,28,12,52,0,3,1,28,13,0,3
93,7.5,1.54,40.69758987,-73.92959595,1,40.71404648,-73.94189453,0,2,5,1,30,23,41,7,5,1,30,23,49,5
94,4,0.48,40.7381134,-73.93222046,2,40.74464798,-73.93074036,0,2,3,1,14,6,46,52,3,1,14,6,49,21
95,4,0.46,40.75664139,-73.98993683,2,40.75114059,-73.99411774,0,2,0,1,4,18,40,20,0,1,4,18,43,1
96,7,1.34,40.78237915,-73.95822906,3,40.79447174,-73.96630096,0,2,3,1,14,16,23,43,3,1,14,16,30,37
97,5.5,1.19,40.71964645,-74.00174713,1,40.73406219,-73.99099731,0,2,6,1,10,10,50,47,6,1,10,10,54,52
98,48.5,18.05,40.69839096,-73.98423004,1,40.64865875,-73.78362274,0,2,6,1,17,19,58,15,6,1,17,20,33,10
99,6,1.1,40.7516098,-73.98977661,1,40.76588821,-73.9803009,0,2,4,1,15,21,27,40,4,1,15,21,33,21
